Vg	Idnorm	Vd
0.6980685661	0.001045354	0.7
0.650414778	0.0008462389	0.7
0.5992959925	0.0007134956	0.7
0.5493229729	0.0005707965	0.7
0.500493201	0.0004214602	0.7
0.45164832	0.0002920354	0.7
0.4016476005	0.0001858407	0.7
0.3516342902	9.62E-005	0.7
0.2993168573	4.31E-005	0.7
0.2515296064	1.99E-005	0.7
0.2007858546	4.10E-006	0.7
0.1499017682	1.03E-006	0.7
0.0990176817	2.38E-007	0.7
0.052259332	5.27E-008	0.7
-0.0013752456	1.02E-008	0.7
0.699818692	0.0002389381	0.05
0.6497575365	0.0002123894	0.05
0.6008345924	0.0001858407	0.05
0.5496276711	0.0001692478	0.05
0.4995690337	0.0001393805	0.05
0.4495179509	9.96E-005	0.05
0.4005950068	7.30E-005	0.05
0.3505363695	4.31E-005	0.05
0.30388733	1.99E-005	0.05
0.2504014677	6.64E-006	0.05
0.2007858546	1.34E-006	0.05
0.1499017682	3.36E-007	0.05
0.1003929273	7.13E-008	0.05
0.0495088409	1.45E-008	0.05
0	2.94E-009	0.05
